category,theme_id,theme_name,ticker,type,rank
기술 패권 & 디지털 혁신 (Technological Disruption),1,AI & 데이터 지능,NVDA,stock,1
기술 패권 & 디지털 혁신 (Technological Disruption),1,AI & 데이터 지능,MSFT,stock,2
기술 패권 & 디지털 혁신 (Technological Disruption),1,AI & 데이터 지능,PLTR,stock,3
기술 패권 & 디지털 혁신 (Technological Disruption),1,AI & 데이터 지능,GOOGL,stock,4
기술 패권 & 디지털 혁신 (Technological Disruption),1,AI & 데이터 지능,SK하이닉스,stock,5
기술 패권 & 디지털 혁신 (Technological Disruption),1,AI & 데이터 지능,AIQ,etf,1
기술 패권 & 디지털 혁신 (Technological Disruption),1,AI & 데이터 지능,ARTY,etf,2
기술 패권 & 디지털 혁신 (Technological Disruption),2,반도체 하드웨어,NVDA,stock,1
기술 패권 & 디지털 혁신 (Technological Disruption),2,반도체 하드웨어,TSMC,stock,2
기술 패권 & 디지털 혁신 (Technological Disruption),2,반도체 하드웨어,ARM,stock,3
기술 패권 & 디지털 혁신 (Technological Disruption),2,반도체 하드웨어,ASML,stock,4
기술 패권 & 디지털 혁신 (Technological Disruption),2,반도체 하드웨어,AVGO,stock,5
기술 패권 & 디지털 혁신 (Technological Disruption),2,반도체 하드웨어,SMH,etf,1
기술 패권 & 디지털 혁신 (Technological Disruption),2,반도체 하드웨어,SOXX,etf,2
기술 패권 & 디지털 혁신 (Technological Disruption),3,로봇 & 자동화,ISRG,stock,1
기술 패권 & 디지털 혁신 (Technological Disruption),3,로봇 & 자동화,ROK,stock,2
기술 패권 & 디지털 혁신 (Technological Disruption),3,로봇 & 자동화,SYM,stock,3
기술 패권 & 디지털 혁신 (Technological Disruption),3,로봇 & 자동화,TER,stock,4
기술 패권 & 디지털 혁신 (Technological Disruption),3,로봇 & 자동화,ZBRA,stock,5
기술 패권 & 디지털 혁신 (Technological Disruption),3,로봇 & 자동화,BOTZ,etf,1
기술 패권 & 디지털 혁신 (Technological Disruption),3,로봇 & 자동화,ROBO,etf,2
기술 패권 & 디지털 혁신 (Technological Disruption),4,사이버 보안,PANW,stock,1
기술 패권 & 디지털 혁신 (Technological Disruption),4,사이버 보안,CRWD,stock,2
기술 패권 & 디지털 혁신 (Technological Disruption),4,사이버 보안,FTNT,stock,3
기술 패권 & 디지털 혁신 (Technological Disruption),4,사이버 보안,ZS,stock,4
